function_name,call_count,total_time_seconds,avg_time_seconds,median_time_seconds,min_time_seconds,max_time_seconds,std_dev_seconds
/home/jiajli/apps/mlir-air/my_install/mlir-aie/install/python/aie/helpers/taplib/tensortiler2d.py:sizes_or_strides_fn:242,930,0.654601894,0.000703873,0.000697534,0.000673890,0.001160316,0.000040133
/usr/lib/python3.12/pathlib.py:__truediv__:721,8643,0.653484470,0.000075609,0.000073669,0.000070242,0.000470236,0.000011841
/home/jiajli/apps/IRON/iron/operators/gemm/op.py:set_up_artifacts:225,97,0.648413731,0.006684678,0.006409899,0.006293100,0.014495146,0.001271071
/home/jiajli/apps/IRON/iron/applications/llama_3.2_1b/src/block/gqa.py:__init__:190,16,0.645936785,0.040371049,0.038959979,0.038377311,0.049058701,0.003348912
/home/jiajli/apps/mlir-air/my_install/mlir-aie/install/python/aie/dialects/_aie_ops_gen.py:dma_bd:1097,2195,0.644983578,0.000293842,0.000288413,0.000277603,0.000806270,0.000023991
/usr/lib/python3.12/enum.py:__and__:1571,6640,0.631208988,0.000095062,0.000071545,0.000069271,0.146843323,0.001801224
/home/jiajli/apps/mlir-air/my_install/mlir-aie/install/python/aie/dialects/_aie_ops_gen.py:__init__:884,2195,0.611923542,0.000278781,0.000273605,0.000263867,0.000765082,0.000022949
/home/jiajli/apps/IRON/iron/operators/gemv/op.py:set_up_artifacts:108,145,0.604171234,0.004166698,0.004094847,0.004025627,0.009320644,0.000446326
/usr/lib/python3.12/pathlib.py:_str_normcase:488,95052,0.601876248,0.000006332,0.000006171,0.000005761,0.000180681,0.000001093
/home/jiajli/apps/mlir-air/my_install/mlir-aie/install/python/aie/extras/dialects/arith.py:constant:117,4941,0.597803222,0.000120988,0.000115568,0.000106520,0.000448926,0.000018219
/home/jiajli/apps/mlir-air/my_install/mlir-aie/install/python/aie/extras/dialects/arith.py:__call__:218,11135,0.586812998,0.000052700,0.000038853,0.000036118,0.000614318,0.000041463
/usr/lib/python3.12/pathlib.py:exists:870,12302,0.583458406,0.000047428,0.000045516,0.000042661,0.000355040,0.000008973
/home/jiajli/apps/IRON/iron/operators/gemm/op.py:_execute_aie_operation:422,65,0.568745133,0.008749925,0.006549943,0.001566763,0.244445182,0.029774191
/home/jiajli/apps/mlir-air/sandbox/lib/python3.12/site-packages/regex/_regex_core.py:__init__:2602,4022,0.547285720,0.000136073,0.000097634,0.000094368,0.146872668,0.002314398
/usr/lib/python3.12/pathlib.py:joinpath:717,8643,0.540834177,0.000062575,0.000060984,0.000058069,0.000264088,0.000009352
<frozen posixpath>:_joinrealpath:504,2258,0.528345999,0.000233988,0.000227484,0.000216057,0.000674982,0.000037605
/usr/lib/python3.12/contextlib.py:__enter__:137,2376,0.527480793,0.000222004,0.000088918,0.000019948,0.013678157,0.000967317
/home/jiajli/apps/mlir-air/my_install/mlir-aie/install/python/aie/dialects/aie.py:bd_dim_layout_array_attr_builder:134,4620,0.526766879,0.000114019,0.000189547,0.000020869,0.003763983,0.000103750
/home/jiajli/apps/IRON/iron/operators/rms_norm/design_weighted.py:my_weighted_rms_norm:159,2,0.525018976,0.262509488,0.262509488,0.072470318,0.452548658,0.268755972
/home/jiajli/apps/mlir-air/sandbox/lib/python3.12/site-packages/torch/package/package_importer.py:_patched_getfile:728,4046,0.511574835,0.000126440,0.000124395,0.000119004,0.000466920,0.000012991
/home/jiajli/apps/IRON/iron/operators/gemm/op.py:set_up_runtime:241,97,0.500223131,0.005156939,0.001096997,0.000084089,0.275289938,0.027828885
/home/jiajli/apps/mlir-air/my_install/mlir-aie/install/python/aie/iron/device/tile.py:op:32,7612,0.498874725,0.000065538,0.000070874,0.000005901,0.005824616,0.000070903
/home/jiajli/apps/IRON/iron/operators/elementwise_mul/design.py:core_body:45,32,0.484672784,0.015146025,0.014928633,0.014644548,0.017706557,0.000674205
/home/jiajli/apps/IRON/iron/operators/rms_norm/op.py:set_up_artifacts:122,66,0.415009075,0.006288016,0.006224154,0.006162162,0.007049555,0.000167224
/home/jiajli/apps/mlir-air/my_install/mlir-aie/install/python/aie/dialects/aie.py:__eq__:987,6617,0.406157084,0.000061381,0.000058390,0.000056176,0.005810510,0.000071588
